,author,content,score,time
0,mike myers,ANOTHER DEMOCRAT CLOWN GFY GARCETTI 🖕🖕🖕🖕🖕🖕🖕🖕🖕,0,2020-04-11T05:56:59.000Z
1,Anthony Ellsmore,I'm going to vomit,0,2020-04-11T05:55:43.000Z
2,Jordan Stephen,ok,0,2020-04-11T05:50:40.000Z
3,dougmurray42,"#RepealAB5 ... End the ""non-person"" status being enforced against independent contractors by the dominent party here in California.",0,2020-04-11T05:47:42.000Z
4,osocat,Eric you are a fuckn commie.,0,2020-04-11T05:45:14.000Z
5,Nitra J_Live,That's my birthday date may 15th!,0,2020-04-11T05:44:21.000Z
6,greg smoluch,"Next time will be 6 more months of quarantine,  not big deal",0,2020-04-11T05:40:34.000Z
7,Natalie,Some of these comments make me think that we deserve this.,0,2020-04-11T05:30:12.000Z
8,rallisoify,Anyone tell this guy there is no issue? Nah. He wants control. Funk this guy.,0,2020-04-11T05:22:39.000Z
9,Jah Senor,Trying his best to get money to illegal aliens. NOT MY TAX MONEY.,0,2020-04-11T05:18:00.000Z
10,Jah Senor,No federal money to SANCTUARY STATES.,0,2020-04-11T05:17:13.000Z
11,Abdulrahman X,"Common sense. When someone is sick. Flu, Cold, fever, etc... Stay home, rest and get better.

Why is the Co - Virus so different? 

People are being ignorant. 
If someone is sick. Stay home or go to doctor. 

The Co - Virus = a battle of cleanliness VS. uncleanliness.

Shouldn't we always maintain cleanliness and good hygiene? Regardless of Co - Virus.",0,2020-04-11T05:10:59.000Z
12,Marco Evans,Does any of these COVIC-19 deaths significantly affect (raise) the average mortality rates?,0,2020-04-11T05:09:48.000Z
13,Jasmine Aranda,https://cash4clickz.com/dashboard/invite.php?invite=Jasmine9616,0,2020-04-11T04:59:46.000Z
14,GreyFire Podcast,WHERE IS HIS MASK 😷!!!!,4,2020-04-11T04:58:30.000Z
15,Chambula Testimony Tuesday/ Praise reports,WHAT ABOUT THE HOMELESS COMMUNITIES???,1,2020-04-11T04:43:40.000Z
16,happy water,Can the government pay for non-essential business rent ????,2,2020-04-11T04:32:37.000Z
17,Rajesh Pandya,"Even after so much knowledge of virulence power, pathogenicity, and difficulty to control disease, people do not understand seriousness , they are burying dead bodies in land and not creamting dead bodies in fire.





People and regulatory bodies must understand control procedures, post death of patient.

Puting dead bodies in earth is high risk for future, as there will be many more mutations in each body and we may have 1000's of different varieties of these virus.





Do we have smart epidemiologists and virologists? to persuade government to enforce policies to dispose dead bodies of such massive attack?",0,2020-04-11T04:29:59.000Z
18,Herb Tryon,Democrats are never held accountable,1,2020-04-11T04:29:38.000Z
19,Herb Tryon,Have you cleaned up the streets yet.,0,2020-04-11T04:28:44.000Z
20,WickedLady2010,I got sick for 3 weeks with chest pain. Told it was bronchitis and then was well for a week. Now I'm sick again but can't get tested. I worked in retail before the shut down and dealt with a lot of people. I feel hopeless right now 😞,0,2020-04-11T04:20:21.000Z
21,anton z,this guy was a child actor on t.v.,2,2020-04-11T04:06:16.000Z
22,Paul Hong,Lockdown in LA will be over on May 15?,0,2020-04-11T03:47:51.000Z
