,author,content,score,time
0,lukeslc,"If you are looking for peace in this world, I invite you to click on this link:  https://newsroom.churchofjesuschrist.org/multimedia/file/restoration-proclamation-2020-april.pdf",0,2020-04-05T18:59:29.000Z
1,Marieanna Bourne,I think all groceries need to be paid for online and picked up outside. Why expose workers needlessly when you can eliminate the contact.,0,2020-04-05T11:50:33.000Z
2,Ronald Bartley,"THIS IS REAL PEOPLE!!!!
MARKET CRASH EMINENT!
EXPERTS SAY ANOTHER 30% DROP AHEAD!!!
SELL EVERY STOCK YOU HAVE BEFORE IT'S TOO LATE!
NEW YORK IN FULL APOCALYPTIC RAPTURE!!!
SELL! SELL! SELL!

IT'S APOCALYPTIC HERE IN FLINT!!!

LISTEN TO NEWS!!!!  
I CASHED OUT MY 401K!!
DON'T LOSE EVERYTHING YOU OWN IN FULL MARKET CRASH!!!

NOT A DRILL!!!",0,2020-04-05T07:53:45.000Z
3,William Cooper,You die once they put you on a ventilator period!!!,0,2020-04-05T01:56:03.000Z
4,dj1200,"And all this could’ve been minimized , if not avoided completely, thanks Trump, hope you’re happy.

The big baby, waah , it’s not my  fault, waah,  Obama did it, waah, but Hillary started it, waah, fake news, waah! 
I want my binky!

It’s time for the adults to take over, Trump’s incompetence, downplaying, and his slow reaction is now killing people. 
Trump is trying to revise history by acting like knew all along the severity, but if that’s true, then why dismantle the pandemic team to “cut costs”? 

I’m sure the pandemic team cost pennies on the dollar compared to what we are going loose now, lol.

What a business man.

We need a real leader takes responsibility and hopefully gets us out of Trump’s mess with minimal casualties as possible.",0,2020-04-04T05:06:40.000Z
5,Brian Lee,The name of this virus is clovisdavisvirus,0,2020-04-04T02:38:12.000Z
6,vinod gangully,https://www.facebook.com/101981001426828/posts/101983071426621/?substory_index=0&app=fbl,0,2020-04-03T15:58:58.000Z
7,LOUD VOICE,"☝️YOU MUST WATCH THIS!! https://www.youtube.com/watch?v=OYrROwpHECk
Fauci Ignores WHO Boss Crimes Against Humanity
🤥THE VIRUS ISN'T REAL! THEY LIE JUST ABOUT EVERYTHING!! MOCKING-BIRD MEDIA IS AN ENEMY OF PEOPLE!!!    PROVE: https://www.youtube.com/watch?v=5pIMD1enwd4&t=468s
https://www.youtube.com/watch?v=qzhZFD19UdcFiddling The Figures - The Magic Trick - David Icke 'Virus' Update
https://imgflip.com/i/3s6yae
https://www.youtube.com/watch?v=9uWriZEC8BQ
David Icke 'Virus' Update
https://www.youtube.com/watch?v=qzhZFD19Udc
https://imgflip.com/i/3s6phy
https://imgflip.com/i/3raztd
how to use qanon?:
/everything in this video/
Deep State Takedown & Military Tribunals! How We Know (Updated!)
https://www.youtube.com/watch?v=Z3KBDpKo3kg  https://qanon.pub
https://www.youtube.com/watch?v=7W6BxCSOF14
Proof: It's All Been Planned - ""The Rockefellar Report""",0,2020-04-03T15:10:04.000Z
8,부산MBC,"In my channel, I am providing 2 interview cuts of a Korean corona virus patient who confirmed and cured finally. You can listen real witness about symtoms, aches, process of cure this link : https://www.youtube.com/watch?v=fsX-q8-CHWo  (now 10 languages sub served)",0,2020-04-03T09:01:50.000Z
9,Lakitha B,https://youtu.be/XYijnm6KzsI. DYI face mask please share,0,2020-04-03T01:58:46.000Z
10,she Za,"its my little son

https://youtu.be/lp7RYsq3wvk",0,2020-04-02T15:34:49.000Z
11,SHRABANI ROY,Every country should boycott China...China made the whole world a Hale.,0,2020-04-02T09:09:33.000Z
12,MDR,Does this virus go thru your skin pores?,0,2020-04-02T05:10:09.000Z
13,roxybarone,"What the frick is with the ads?   just trying to learn about the pandemic...oh but what, maybe I'll buy something before I die",0,2020-04-02T04:30:49.000Z
14,Elephant Corridor Hotel,https://youtu.be/CSTdRdwmisQ,0,2020-04-01T20:44:46.000Z
15,Victore Halls,"She does not use googles, are they out of them? they are really neccessary if youre in the middle od covid 19 drs and patiemts including nurses.",0,2020-04-01T19:57:43.000Z
16,Ruth Garin,"Your penny can save the senior lifeAppreciate everything. If you can offer food,face masks and so. Please contactus by the email: ruthairin1999@gmail.com BTC-adress 3GH7XPwvjNTx68GfZ5kNUTPUpxyqE46JXS",0,2020-04-01T19:11:29.000Z
17,Mar,"How's your country doing? 
Covid live visual guide -> http://back.ly/RpaKi",0,2020-04-01T15:51:34.000Z
18,Dysfunctional Veteran,Please somebody ask the V.A hospital for help. They are willing and able to assist in this pandemic we must be asked/activated to open bed space.,0,2020-04-01T14:43:36.000Z
19,Bennie Kelly,As the world continues to laugh at the Orange Clown running the circus-show!,1,2020-04-01T13:25:32.000Z
20,Madeswaran Arumugam,"There is a Siddha Medicine doctor from Tamil Nadu, India who claims can cure Corona Virus, appealed to India PM without any feedback.
This guy even claims to let him treat the patients even without PPE. You can use your resources to check. He has published numerous videos in YouTube in Tamil Language. I am sure Gates Foundation will have some Tamil people and try.",0,2020-04-01T13:21:03.000Z
21,Scientific Spirituality,"CRITICAL MESSAGE.. 

AMERICAN EXCEPTIONALISM ..believed that Americans are the fittest.. Calamity will claim by natural selection... 

NATURAL SELECTION.... 

Correction.... 

ITS KARMIC SELECTION THIS TIME. 

MAD MAN DARWIN WAS NOT RIGHT IN HIS THEORY OF SURVIVAL OF THE FITTEST. 

THIS TIME IT IS SURVIVAL OF THE LEAST NEGATIVE KARMIC BAGGAGE IN HUMAN SPECIES. 

ONLY THE KARMA CONSCIOUS NATIONS WILL SURVIVE THIS PANDEMIC. 

NATURE KNOWS HOW TO DISPOSE OFF IT'S GARBAGE.",0,2020-04-01T12:53:48.000Z
22,Muhammad Sheheryar Tahir,"https://youtu.be/jDbVuCjl3xs
https://youtu.be/ZzTuVVUt3Y4
https://youtu.be/cPKeAiVQ8P4
https://youtu.be/no22t9rfhB8
https://youtu.be/GsQYUjA4nh0
https://youtu.be/AFVSjZ5gQHg
https://youtu.be/Vho7aSDJu6g
https://youtu.be/NHFt7LsnSMQ
https://youtu.be/_ZmUrJLgmmo
https://youtu.be/-hlBqL9z_SY
https://youtu.be/pnxVT2NPzXo
https://youtu.be/f0MQUdaWqSs
https://youtu.be/XN1RRqKBgm8
https://youtu.be/7Nehyg9iYOI
https://youtu.be/0HzwXnzNH-A
https://youtu.be/cNF1_yMGG50
https://youtu.be/ZlzxHHgp3YQ
https://youtu.be/neo-NCpGdMs
https://youtu.be/R0pkLuxFFto
https://youtu.be/E532SAnZRb4
https://youtu.be/NxqGcGkkxSE
https://youtu.be/AcYriigo_1s
https://youtu.be/m2M5Lw_6YyY
https://youtu.be/s7lGB6wfY2o
https://youtu.be/W9ClPhe4pHM
https://youtu.be/z_FUtbiipS8
https://youtu.be/lpsgXcemaGE
https://youtu.be/Ta0Wbvi2aEY
https://youtu.be/he5Mi9Q_y4s
https://youtu.be/wUAawW2b41g
https://youtu.be/FzkA-3dUUWE
https://youtu.be/mP2hckAcik0
https://youtu.be/wnR3UkuF_Nk
https://youtu.be/ciwaeJslVO4
https://youtu.be/WsvSSs7yXf0
https://youtu.be/qmxhDvFVNWA",0,2020-04-01T10:42:16.000Z
23,Muhammad Sheheryar Tahir,https://youtu.be/jDbVuCjl3xs,0,2020-04-01T10:25:16.000Z
24,Fly Jay Zambia,In Zambia 30 Cases,0,2020-04-01T09:58:06.000Z
25,Sasha Praf,"Russia helps the USA in the fight against coronavirus!
*VIDEO AT MY CHANNEL!*",0,2020-04-01T09:47:15.000Z
26,Jasmine Steele,Stay social distancing people! ttps://youtu.be/M1j8L-SCJy4 Check out my Covid19 Lockdown 30 Day Stay Fit Challenge!! <3,0,2020-04-01T09:08:35.000Z
27,Crickit Torres,Trump is a wartime president and I wonder how many casualties are going to be counted worldwide,1,2020-04-01T07:56:45.000Z
28,Luz Reyes,My opinion is why all those millionaire ..need to donate to the cause that effect every one of this country and all over the world.please we need to help each other. We your help you help your self is well. Thank you.  God bless we all.,0,2020-04-01T06:51:58.000Z
29,Konstantin Konstantinov,"Show Must Go 👍👍👍 good fake, good acting.",0,2020-04-01T06:04:55.000Z
30,yaps yakp,"China is back to life





I think they found and gives every country tho?",0,2020-04-01T06:00:07.000Z
