,author,content,time,score
0,AimeKouameKan1,for the chart,2020-03-26 06:42:55,0
1,CymekChristian,strategy of luck over there mates,2020-03-25 19:13:33,0
2,comments007,need are the technical and scientific advancements,2020-03-25 20:07:29,0
3,Ahmed_Nagiubgad,hygienical jurisprudence includes a number of regulations involving cleanliness during salat obligatory prayer through wudu partial ablution and ghusl full ablution as well as dietary laws and toilet etiquette for,2020-03-26 05:53:51,0
4,d_smooche50,sense says it s the only way to identify where the hot spots are located and who has it we want to wait until a person already has symptoms and already spreaded it,2020-03-31 20:27:41,0
5,sabatoranuko,tests on people who come in for tests because they re worried or don t have symptoms will lead to a medical collapse I think we should rather use the immunity of the asymptomatic infected and those who have already been cured,2020-03-25 19:01:09,1
6,ChuckUF06477072,how can there be a global shortage of tests for an illness that is supposedly novel new when there shouldn t have been any at all for a then non existing disease interesting how come a few countries have had the tests all along with enough surplus to share,2020-03-25 20:35:03,0
7,pe_em_a,It was new in it is now end of,2020-03-26 12:15:25,0
8,ReeceElise,for thought are these countries able to have abundance amount of tests are we missing,2020-03-25 18:38:44,1
9,DIDDYRUNTHACITY,she outside fully suited,2020-03-25 18:36:33,0
10,PaultheCasper1,now they are gonna hog up all the test kits putting their people above everyone else,2020-03-25 20:00:23,0
11,DavidvStephen,You do realise that in order to do tests we need to either buy or manufacture the kits options which are both open to your country option open to you is thinking before you post,2020-03-25 21:02:56,0
12,StevenGlaser18,I see the market had to correct the problem of incidence and prevalence resulting in false positives,2020-03-25 20:02:30,0
