,author,content,time,score
0,GasanaIdeas,so funny how you re not reporting the cases in and Or our lives don t matter no,2020-03-16 17:58:59,31
1,atsirkp,Will the developers now share it woth the rest of the world or will they demand a huge profit,2020-03-16 18:06:09,9
2,Roysterini,I fear the latter,2020-03-16 18:08:27,7
3,Gilbert66845953,us hope for the best,2020-03-16 17:58:21,9
4,Dewarrestaurant,one is saying if you can get this more than once and what if any long term effects,2020-03-16 18:00:32,6
5,Denise82031906,I ve read bad news on both scenarios,2020-03-16 18:05:28,1
6,Denise82031906,step it ll still take at least a year for the development of a safe vaccine,2020-03-16 18:04:06,2
7,kevinkerbrat,is complete and utter bull isn t 1995,2020-03-16 18:19:24,3
8,NFasmal,mind That s why big launched the virus in can sell the antidote there with no formalities that will dispense with the human trial in the rest of the world,2020-03-16 18:15:40,3
9,DaleBetterton,initial trials will take months and full approval as much as a year or more this is for the creation of a trial vaccine should be grateful for the work and investment by the biomedical industry over the years which has made this possible,2020-03-16 18:41:30,1
10,AmericansoccerA,2020,2020-03-17 08:50:31,1
11,costagirl0708,I hope this works,2020-03-16 17:57:44,1
12,reelmacin,this sound hopeful what we actually need now to help us all through the fears,2020-03-16 18:05:37,2
13,kevinkerbrat,No it s not going to take months desperate times call for desperate measures,2020-03-16 18:17:41,5
14,FabiolaBarocio,let s hope for the best,2020-03-16 17:58:05,2
15,myra7,for the best,2020-03-16 17:59:52,2
16,Florenc68488736,the employment allowance for is increasing form 3k to 4K 1 2 million businesses will benefit from this reduction to their cost of employment with a beverage gain of 850 per year,2020-03-16 18:00:46,2
17,litterallywho,please livestream,2020-03-16 17:58:02,1
18,PjG112251,s a time machine when you need one ffs,2020-03-16 18:00:25,1
19,Ishfaq06375898,That s nice that s the real basic it s a fair gesture specially from the s but still it s all just effective after months it s all just really disappointing,2020-03-16 18:16:52,1
20,Brent_Plonsky,worse than this virus,2020-03-16 18:24:23,1
21,4joiedevivre,them,2020-03-16 18:28:18,1
22,GladysJPREZ2,that works,2020-03-16 19:18:37,1
23,guitargil1,the drugs would elevate the status of this bulletin to the status of excellent reporting,2020-03-16 18:39:32,1
24,mariopazsorto,s get it right,2020-03-16 18:21:34,1
25,theseconddb,I remember lining up for the swine flu vaccine I was stopped because the vaccine had serious effects,2020-03-16 18:04:47,0
26,Florenc68488736,is scrapped on and academic journals news for readers,2020-03-16 18:05:13,0
27,phoenix63479159,hurry got plenty of time,2020-03-16 18:07:19,0
28,Jenny108,s good certainly worked fast I still wouldn t wanna be a test subject,2020-03-16 18:10:23,0
