,author,content,time,score
0,eary_cheryl,I am a retired nurse are many heath care workers my friends showing symptoms but we have no testing kits here I am looking at everyone as they are infected until proven otherwise I relax in my protective measures for myself and for others I am,2020-03-17 20:12:08,55
1,DreamyTangerini,country is done,2020-03-17 20:27:47,4
2,theseeker6318,reason west isn t reporting is due to there lack of testing s bound to be just about everywhere by now,2020-03-17 20:04:06,112
3,TheOnlySoleil,haven t tested more than 100 people I m hearing from friends still in the state that there are 3 potential cases 1 of them a pregnant woman currently getting treatment in in test results yet though,2020-03-17 20:12:40,14
4,ryminogue,0 13 mortality 45 million cases 61000 deaths a 3 mortality rate and 45 million 19 cases it would be over 13 million just to keep things in perspective,2020-03-17 21:40:48,18
5,PolidiotSpotter,coronavirus doesn t want to go to,2020-03-17 20:06:25,17
6,mr_mookie,just means no one has traveled from or to in,2020-03-17 20:22:52,7
7,ryanhalstead,roads take me home to that place I belong sing it,2020-03-17 20:07:17,3
8,chrisjones_22,singing is horrible,2020-03-17 20:39:39,2
9,reidsworld,no cases because they have no tests,2020-03-17 20:04:56,4
10,Pawelhere,should be glad he didn t put fear into people if he said it was real mon man,2020-03-17 20:35:19,2
11,TFOuterspace,that s where the is,2020-03-17 20:04:54,1
12,cholingostl1,the cia is everywhere,2020-03-17 20:06:29,1
13,deenatrudy,100 people than probably any other illness in the world smoke mirrors,2020-03-17 20:04:30,2
14,NoleLuckNeeded,we re doing a pretty good job,2020-03-17 20:04:41,2
15,PeralmoM,cases being the key factor may have cases and even deaths that have not been identified,2020-03-17 20:04:50,2
16,RobGuy3,all the states not to have any cases I would ve never picked,2020-03-17 20:05:23,2
17,kevin8seven,I wonder if has done any tests at all,2020-03-17 20:06:26,2
18,WesStull,dat moonshine,2020-03-17 20:03:07,1
19,bryanwatson131,poison them years ago in the water probably why,2020-03-17 20:03:37,1
20,notjustjon,s in the water in,2020-03-17 20:04:16,1
21,Kazman416,are directly related to one another and they re immune to 19,2020-03-17 20:06:33,2
22,_tweeeet_,I wonder how many people have died that were never even diagnosed,2020-03-17 20:06:36,1
23,Shwinnx,heaven Mountains is old there older than the than the mountains growing like a breeze,2020-03-17 20:07:45,1
24,dirkjharrington,because not even the coronavirus wants to live there,2020-03-17 20:10:06,1
25,pattiswflgb,how many from the flu,2020-03-17 20:12:07,1
26,exarmygirl67r,link says 84 people have been tested 80 tests came back negative 4 are pending,2020-03-17 20:14:48,1
27,DDaub3rt93,does have a reported case late there,2020-03-18 03:24:16,1
28,Ishfaq06375898,sad and so tragic it s all just really disappointing specially in,2020-03-18 04:28:48,1
29,BashN2Me,s it I m moving to the mountains in,2020-03-17 20:07:08,0
30,Cynthiab799Boyd,have to be able to sing first,2020-03-17 22:55:26,1
31,gcsz,says 75,2020-03-17 20:07:47,0
32,twitkhan1,also says that 16 000 have died as a result of the flu during the current season in the the deaths start spiking this could be another hysteria machine Not saying don t be mindful but perspective is a good thing,2020-03-17 22:48:16,1
33,Chukwunnocent,heaven west virginia,2020-03-17 20:07:49,1
