,author,content,time,score
0,mikeypredsfan,said that again,2020-03-19 22:43:24,12
1,dayz127a,collapsing of capitalism bless,2020-03-19 22:42:05,18
2,bryan_trader,would ve been out already if it weren t for capitalism,2020-03-19 22:55:15,16
3,clt_princee,this point just do a quarantine,2020-03-19 22:32:30,35
4,MelvinYoder1,spreading that fear great job,2020-03-19 22:33:39,39
5,pat1953,s ask the He ll know what to do puts up with evil from certain health care workers would stop taking supplies giving them to their friends family I was offered a unopened of gloves,2020-03-19 22:38:48,2
6,DonnaCiraFood88,need more medical and testing supplies That was the message from governors around the country to their main worry is that there is not enough personal protection equipment available such as masks disposable gowns to all medical staff,2020-03-19 22:42:18,4
7,brianm853,get off their duff and order more,2020-03-19 23:30:43,1
8,wubarusrx,that s how this works,2020-03-19 23:57:36,2
9,WilliamBradyCoS,leaders inspire and solve and then there is,2020-03-19 22:51:58,2
10,MichaelTouby,is sensationalism intended to panic the public The possesses plenty of supplies and other states will kick in for those states with temporary shortages while we make more is plenty of everything Breath in deep hold for 4 sec breath out deep hold for 2,2020-03-20 00:30:25,2
11,cam_trail,shouldn t be complicated,2020-03-20 01:07:59,2
12,EmperorZing,those playing it down dont grasp issues like this gonna be catastrophic if supplies run out and health workers become infected and quarantined,2020-03-19 22:40:27,1
13,dbendinelli7,love to see the numbers models predicting this provide very valuable for the rest of the country,2020-03-20 01:22:01,1
14,DKrofssik,be a,2020-03-19 22:52:02,0
15,JamesRi92021048,a republican wouldn t care,2020-03-20 05:40:59,1
16,Renlala12,can we do about this,2020-03-20 14:07:56,1
17,mrhmassage,look at,2020-03-19 22:33:02,0
18,snowstormyou,times,2020-03-19 22:39:03,0
19,Snickelfritz202,is all a bunch of refer madness tell ya,2020-03-19 22:46:46,0
20,TheJoeGuy4,if can help it,2020-03-19 22:52:22,0
21,fimashef,to tidy up the subway cars and disinfect them where all the dirt is collected there are a lot of homeless people are the feds needed for this too it s time to really get down to business,2020-03-19 22:53:20,0
22,ty117ret,He better hit the gym,2020-03-19 23:11:54,0
23,robertlowell37,world pro oh wait,2020-03-19 23:17:51,0
24,SzzHal1,because knows what the hell he s talking about,2020-03-19 23:27:07,0
25,Penny77221361,keep antagonizing,2020-03-19 23:27:37,0
26,jyorhan,we finna die,2020-03-20 00:16:56,0
27,gooseopinions,timing to make enemies with,2020-03-20 00:31:20,0
28,AUTodd03,your not out so feartatics,2020-03-20 00:39:33,0
29,jimmyjoetheind1,warehouse stocks masks but ours closed today but said had caseload,2020-03-20 00:51:06,0
30,Sinner_ow,in 4 weeks they ll finally place a quarantine,2020-03-20 00:58:00,0
31,randojacq,oh,2020-03-20 02:12:16,0
32,stratmatthys,lock it down the citizens is your job,2020-03-20 02:33:03,0
33,S_Salmaah,virus most have been over b4 that time,2020-03-20 10:01:08,0
34,nutmeg237,not report something on a more positive spin give people hope not gloom and panic,2020-03-20 13:27:12,0
35,PalominianSoto,is this happening in the richest country in the world The is a failure,2020-03-20 15:09:02,0
36,richard_unis,we place a sponge in the microwave to extend its life It seems to disinfect it hospitals put their masks in microwaves to disinfect them after light use Is that safer than the bandanas some are resorting to,2020-03-20 19:39:24,0
37,oxonian76,I don t understand why they didn t see this coming I m not an but I saw this coming in early I ordered over 100 N95 masks on 25 for less than 100 and received them by 29th were these and doing,2020-03-20 22:51:07,0
